name,description,neighborhood_overview,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
SunsplashedSerenity walk to Harvard & Fresh Pond,"An elegant, sun-splashed, 2 bedroom (+2offices) apartment with parking, a 15-minute walk or 7-minute bike ride to Harvard (bikes provided).  Enjoy this spacious 1st floor unit in a stylish 3-level house, with its gorgeous yard and two bluestone patios, on a quiet leafy street in Huron Village Cambridge.  Sleeps 5.","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)","Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,60%,Cambridge,2,3,"['email', 'phone']",Neighborhood highlights,West Cambridge,,42.38258,-71.13646,Entire rental unit,Entire home/apt,5,1,1 bath,2,2,"[""Refrigerator"", ""Bed linens"", ""Free street parking"", ""Single level home"", ""High chair"", ""Cooking basics"", ""Oven"", ""Shower gel"", ""Children\u2019s books and toys"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Barbecue utensils"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Dryer"", ""Shared patio or balcony"", ""Host greets you"", ""Shared backyard \u2013 Not fully fenced"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Babysitter recommendations"", ""Essentials"", ""TV with standard cable"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Children\u2019s dinnerware"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Outlet covers"", ""Beach essentials"", ""Private entrance"", ""Heating"", ""Washer""]",$300.00 ,77,10,0,170,11,60,18000,4.83,4.95,4.97,4.89,4.92,4.93,4.73,2,2,0,0,0.4
Lovely Studio Room: Available for long w/ends,"Large sunny room w kitchenette & bath. Foam mat can be added for 3rd person. Must love rescue dogs; Callie is a gem; likes pets when you come and go. Quality queen mattress, fridge, microwave, good wifi, en-suite marble bath. Quiet, leafy Cambridge neighborhood, moments from city life. Walk, bike or bus to Harvard, Tufts, MIT, Lesley . **Must like kids, adorable ones live above & you will hear their footsteps at times. Covid Vaccination. No lock on room or use of other rooms.","The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.","Cambridge, MA","Friendly, politically progressive, resourceful... I love hosting people from all over the world, and know the area well for a native NY'er. You will find the environment 'on the court' restful, peaceful and as one  guest from put it, ""I  figured you were a healer of some sort-- because your home feels healing."" Our place is relaxing and down to earth, with  an artistic and colorful ambiance, and lots of sunlight.",within a few hours,100%,50%,Cambridge,4,4,"['email', 'phone']",Neighborhood highlights,North Cambridge,,42.3963,-71.13135,Private room in condo,Private room,3,,1 private bath,1,,"[""Refrigerator"", ""Bed linens"", ""Central air conditioning"", ""Hot water kettle"", ""EV charger"", ""Shower gel"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Coffee"", ""Host greets you"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""Paid parking garage off premises"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Portable fans"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Heating""]",,184,9,0,266,9,54,,4.79,4.74,4.77,4.91,4.92,4.79,4.76,3,1,2,0,1.01
"Furnished suite, Windsor","Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,Central Square,3,3,"['email', 'phone']",,The Port,,42.36258,-71.09603,Private room in bed and breakfast,Private room,1,1,1 private bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Outdoor furniture"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Lock on bedroom door"", ""First aid kit"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""General electric oven"", ""Dryer"", ""Shared patio or balcony"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Ethernet connection"", ""Essentials"", ""TV with standard cable"", ""Dining table"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Extra pillows and blankets"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Hot water"", ""Mini fridge"", ""Wine glasses"", ""Outdoor dining area"", ""Fire extinguisher"", ""Heating"", ""Washer"", ""Building staff""]",$177.00 ,12,1,0,275,1,20,3540,4.55,4.6,4.6,4.6,4.9,4.9,4.3,3,0,3,0,0.07
Furnished suite 2 @ the Windsor,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival",,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,Central Square,3,3,"['email', 'phone']",,The Port,,42.36254,-71.09698,Private room in bed and breakfast,Private room,2,1,1 private bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Rice maker"", ""Outdoor furniture"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Lock on bedroom door"", ""Oven"", ""First aid kit"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Self check-in"", ""Paid parking lot on premises \u2013 3 spaces"", ""Hair dryer"", ""Backyard"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Shared patio or balcony"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Ethernet connection"", ""Essentials"", ""Dining table"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Hammock"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Hot water"", ""Mini fridge"", ""Wine glasses"", ""Outdoor dining area"", ""Central heating"", ""Fire extinguisher"", ""Building staff"", ""40 inch TV with standard cable""]",$194.00 ,26,3,0,281,3,30,5820,4.76,4.67,4.75,4.63,4.75,4.88,4.63,3,0,3,0,0.15
Cambridge Getaway @ Harvard & MIT,Charming 2-bedroom apartment on the third floor of our beautiful Victorian home.,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,"Cambridge, MA","Annmarie and I were both born here in Cambridge. We have lived in the same location our entire lives. It is a wonderful area for visiting the city..We started with Airbnb for 4 years now and it has been a wonderfull experience. Many people have stayed here from all over the world.. Marathons, Graduations, Reunions and Family get togethers. We are surrounded by Great restaurant's and cafe's.. We are 5 minutes to bus lines and the Redline. You can walk to Harvard or MIT in 10-15 minutes Walkability has a 95% rating. We also have free parking.",within a day,100%,90%,Cambridge,1,2,"['email', 'phone']",Neighborhood highlights,The Port,,42.3695,-71.09921,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,"[""Refrigerator"", ""Free street parking"", ""High chair"", ""Cooking basics"", ""Oven"", ""Free parking on premises"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Iron"", ""Pets allowed"", ""Smoke alarm"", ""Patio or balcony"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""Fire extinguisher"", ""Heating"", ""Building staff""]",$300.00 ,436,28,2,179,26,168,50400,4.87,4.88,4.86,4.96,4.93,4.93,4.76,1,1,0,0,2.58
large furnished suite in Central sq,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival",,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,Central Square,3,3,"['email', 'phone']",,The Port,,42.36274,-71.09768,Private room in bed and breakfast,Private room,3,1,1 private bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Outdoor furniture"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Lock on bedroom door"", ""Oven"", ""First aid kit"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Dryer"", ""Shared patio or balcony"", ""Toaster"", ""Smoke alarm"", ""Fast wifi \u2013 119 Mbps"", ""Hangers"", ""Ethernet connection"", ""Essentials"", ""TV with standard cable"", ""Dining table"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Shampoo"", ""Kitchen"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Hot water"", ""Mini fridge"", ""Wine glasses"", ""Outdoor dining area"", ""Fire extinguisher"", ""Heating"", ""Washer"", ""Building staff""]",$197.00 ,23,2,0,285,2,20,3940,4.83,5,4.87,4.91,5,4.87,4.57,3,0,3,0,0.14
"""The Treehouse"" :   Elegant living near Harvard","An elegant, contemporary, top-floor unit in the quiet, green, Huron Village area of Cambridge, with its boutiques, restaurants, galleries, grocer, antique shop, & a used bookstore.  Walk to Harvard & Porter Squares, the Charles River, & Fresh Pond.  Ride along the Minuteman Bike Path.  Enjoy our large backyard with its 2 patios, double hammock, lounge chairs, & croquet lawn (and wi-fi). Close to Route 2.  From 5/15-8/31 short-term guests. Starting 9/1  long-term guests only (3 months or more).","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)","Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,60%,Cambridge,2,3,"['email', 'phone']",Neighborhood highlights,West Cambridge,,42.38227,-71.13643,Entire rental unit,Entire home/apt,3,1,1 bath,1,1,"[""Bed linens"", ""Conditioner"", ""Free dryer \u2013 In building"", ""Thermador electric stove"", ""21 inch HDTV with Netflix, standard cable"", ""Garden view"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Outdoor furniture"", ""Free parking on premises \u2013 1 space"", ""Free street parking"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Fire pit"", ""Clothing storage: closet and dresser"", ""Shower gel"", ""Luggage dropoff allowed"", ""Sound system"", ""Hair dryer"", ""Barbecue utensils"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Books and reading material"", ""Shared patio or balcony"", ""Children\u2019s bikes"", ""Cleaning products"", ""Under-counter small fridge with freezer refrigerator"", ""Toaster"", ""Host greets you"", ""Shared backyard \u2013 Not fully fenced"", ""Smoke alarm"", ""Laundromat nearby"", ""Hangers"", ""Microwave-Convection oven oven"", ""Essentials"", ""Dining table"", ""Exercise equipment: stationary bike"", ""Cleaning available during stay"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Window AC unit"", ""Shampoo"", ""Window guards"", ""Free washer \u2013 In building"", ""Body soap"", ""Portable fans"", ""Wifi"", ""Kitchen"", ""Dishwasher"", ""Hammock"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Mini fridge"", ""Wine glasses"", ""Private entrance"", ""Central heating"", ""Outdoor dining area"", ""Bikes"", ""Coffee maker: french press""]",$270.00 ,46,4,0,230,4,24,6480,4.76,4.8,4.93,4.84,4.93,4.96,4.8,2,2,0,0,0.27
HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,"Standalone private artist's carriage house loft. Our live/work funky artist's carriage house is located on historic tree lined Bigelow Street smack in the middle of Harvard and MIT! Absolutely central to everything! Redline T is 2 short blocks away. Mass. ave bus and Hubway Bike spot is at the bottom of our street. Easy Ubers, Lyft and taxi's everywhere. And fabulous coffee shops, restaurants, Whole Foods market, pubs, bookstores, music, Harvard, MIT, and HBS within minutes!","Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance.","Cambridge, MA","We are a household of writers, Illustrators, animators, filmmakers, musicians, technologists, immersive storytellers, visual narrative artists, professors and entrepreneurs…",within an hour,100%,98%,Cambridge,10,13,"['email', 'phone', 'work_email']",Neighborhood highlights,Mid-Cambridge,,42.36771,-71.1058,Entire home,Entire home/apt,4,,1 bath,1,,"[""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""EV charger"", ""Oven"", ""First aid kit"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Backyard"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Keypad"", ""Dryer"", ""Shared patio or balcony"", ""Pets allowed"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Stove"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Heating"", ""Paid parking off premises""]",,172,0,0,0,0,0,,4.88,4.92,4.98,4.97,4.95,4.98,4.75,9,9,0,0,1.05
East Cambridge Apartment,Our four bedroom home is tucked away in a wonderful neighborhood in East Cambridge.  Walk to great neighborhood restaurants and enjoy day trips to Boston with easy access to bus and train lines.  Enjoy the backyard and charm of Cambridge.,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  ,"Cambridge, MA","My wife and I are teachers north of Boston and have 4 children.  We enjoy traveling, being active, and spending time in Cape Cod and Lake Ontario.
  
As a family we enjoy seeing different places and experiencing different cultures.  We love the concept of Airbnb and as a young family, we love the idea of living somewhere else and having the flexibility/comforts of a kitchen and yard.",within an hour,100%,100%,Cambridge,3,3,"['email', 'phone', 'work_email']",Neighborhood highlights,Wellington-Harrington,,42.37147,-71.08939,Entire rental unit,Entire home/apt,7,2,2 baths,4,6,"[""Refrigerator"", ""Bed linens"", ""Outdoor furniture"", ""Cooking basics"", ""First aid kit"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Self check-in"", ""Hair dryer"", ""Backyard"", ""Microwave"", ""Iron"", ""Dryer"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Smart lock"", ""Essentials"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Body soap"", ""Room-darkening shades"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Outdoor dining area"", ""Fire extinguisher"", ""Heating"", ""Washer""]","$1,425.00 ",80,5,0,31,5,30,42750,4.94,4.89,4.91,4.96,4.99,4.8,4.76,2,2,0,0,0.52
Waterfront-1 Bed Room Luxury Condo,,,"Cambridge, MA","I like travel, music, art and fitness.  ",a few days or more,0%,N/A,East Cambridge,2,5,"['email', 'phone']",,East Cambridge,,42.37103,-71.07557,Private room in rental unit,Private room,2,1,1 shared bath,1,1,"[""Free parking on premises"", ""Pool"", ""Heating"", ""Gym"", ""Essentials"", ""TV with standard cable"", ""Shampoo"", ""Hot tub"", ""Wifi"", ""Elevator"", ""Indoor fireplace"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Dryer""]",$188.00 ,12,0,0,287,0,0,0,4.64,4.83,4.42,4.75,5,4.75,4.5,1,0,1,0,0.08
